anio,unidad,excedente_bruto_explotacion,ppye,stock_seleccionado,tasa_ganancia
1922.0,Millones de pesos de 2018,,,,
1923.0,Millones de pesos de 2018,,,,
1924.0,Millones de pesos de 2018,,,,
1925.0,Millones de pesos de 2018,,,,
1926.0,Millones de pesos de 2018,,,,
1927.0,Millones de pesos de 2018,,,,
1928.0,Millones de pesos de 2018,,,,
1929.0,Millones de pesos de 2018,,,,
1930.0,Millones de pesos de 2018,,,,
1931.0,Millones de pesos de 2018,,,,
1932.0,Millones de pesos de 2018,,,,
1933.0,Millones de pesos de 2018,,,,
1934.0,Millones de pesos de 2018,,,,
1935.0,Millones de pesos de 2018,,,,
1936.0,Millones de pesos de 2018,,,,
1937.0,Millones de pesos de 2018,,,,
1938.0,Millones de pesos de 2018,,,,
1939.0,Millones de pesos de 2018,,,,
1940.0,Millones de pesos de 2018,,,,
1941.0,Millones de pesos de 2018,,,,
1942.0,Millones de pesos de 2018,,,,
1943.0,Millones de pesos de 2018,,,,
1944.0,Millones de pesos de 2018,,,,
1945.0,Millones de pesos de 2018,,,,
1946.0,Millones de pesos de 2018,,,,
1947.0,Millones de pesos de 2018,,,,
1948.0,Millones de pesos de 2018,,,,
1949.0,Millones de pesos de 2018,,,,
1950.0,Millones de pesos de 2018,,,,
1951.0,Millones de pesos de 2018,,,,
1952.0,Millones de pesos de 2018,,,,
1953.0,Millones de pesos de 2018,,,,
1954.0,Millones de pesos de 2018,,,,
1955.0,Millones de pesos de 2018,,,,
1956.0,Millones de pesos de 2018,,,,
1957.0,Millones de pesos de 2018,,,,
1958.0,Millones de pesos de 2018,,,,
1959.0,Millones de pesos de 2018,,,,
1960.0,Millones de pesos de 2018,,,,
1961.0,Millones de pesos de 2018,,,,
1962.0,Millones de pesos de 2018,,,,
1963.0,Millones de pesos de 2018,,,,
1964.0,Millones de pesos de 2018,,,,
1965.0,Millones de pesos de 2018,,,,
1966.0,Millones de pesos de 2018,,,,
1967.0,Millones de pesos de 2018,,,,
1968.0,Millones de pesos de 2018,,,,
1969.0,Millones de pesos de 2018,,,,
1970.0,Millones de pesos de 2018,,,,
1971.0,Millones de pesos de 2018,,,,
1972.0,Millones de pesos de 2018,,,,
1973.0,Millones de pesos de 2018,,,,
